Date,Average_Return_High,Count_High,Average_Return_Low,Count_Low,ESG_Factor
2007-10-31,0.018594813483395003,109,0.02650822887248187,109,0.007913415389086867
2007-11-30,-0.03433247318729103,109,-0.036933415114672345,109,-0.002600941927381313
2007-12-31,-0.009650653589077315,115,5.8385522346647324e-05,115,0.009709039111423963
2008-01-31,-0.046992525007381276,115,-0.04630453486525625,115,0.0006879901421250265
2008-02-29,-0.032776024001291974,116,-0.01791703599016628,116,0.014858988011125694
2008-03-31,-0.010247443095471523,116,-0.012295223884760073,116,-0.0020477807892885502
2008-04-30,0.057332642237250715,116,0.07231427868807425,116,0.01498163645082353
2008-05-31,0.022340911548322566,116,0.03339527786440553,116,0.011054366316082961
2008-06-30,-0.08917178500313645,117,-0.09791117955785449,117,-0.008739394554718033
2008-07-31,0.005273506486597548,117,-0.004667471531034683,117,-0.00994097801763223
