0#.SPCY,0#.SP400,0#.SPX
ADUS.OQ,GHC.N,ADI.OQ
CPRX.OQ,AMED.OQ,MMC.N
CATY.OQ,RGLD.OQ,IT.N
WLY.N,NVST.N,ECL.N
FCF.N,HXL.N,BXP.N
TR.N,SEIC.OQ,GE.N
MXL.OQ,CROX.OQ,ED.N
IART.OQ,CC.N,ALLE.N
PATK.OQ,TOL.N,OTIS.N
CEVA.OQ,ENOV.N,WFC.N
IBP.N,CSL.N,CTVA.N
JOE.N,OPCH.OQ,FTV.N
AXL.N,GGG.N,AEE.N
CNS.N,FLEX.OQ,PRU.N
LMAT.OQ,XPO.N,DLTR.OQ
AMN.N,PBF.N,CF.N
PZZA.OQ,LANC.OQ,NEE.N
TGI.N,SLGN.N,FMC.N
MGY.N,RH.N,KLAC.OQ
SPXC.N,CFR.N,AME.N
WHD.N,ARMK.N,NUE.N
CNXN.OQ,DAR.N,D.N
AWR.N,STWD.N,SJM.N
KRYS.OQ,KNF.N,EMR.N
MBC.N,MORN.OQ,DVA.N
VSTO.N^K24,CRI.N,CMS.N
GDEN.OQ,H.N,HPE.N
TMDX.OQ,CNM.N,BDX.N
AHH.N,ELS.N,MGM.N
KLG.N,BIO.N,HUBB.N
IIPR.N,THG.N,ALGN.OQ
CAKE.OQ,WLK.N,SRE.N
COOP.OQ,CELH.OQ,REGN.OQ
WS.N,UBSI.OQ,EFX.N
CWEN.N,GBCI.N,USB.N
STC.N,VC.OQ,CSGP.OQ
AZZ.N,NLY.N,HCA.N
BBWI.N,MLI.N,AVGO.OQ
DLX.N,ORI.N,DHR.N
FELE.OQ,TXNM.N,NWSA.OQ
NBR.N,GAP.N,ERIE.OQ
SBSI.N,PSTG.N,RTX.N
HPP.N,WTS.N,AAPL.OQ
PJT.N,OC.N,CME.OQ
MD.N,JWN.N,ADM.N
BCC.N,WMG.OQ,APD.N
ARLO.N,OZK.OQ,FANG.OQ
MGPI.OQ,M.N,WRB.N
PIPR.N,CMC.N,AXP.N
ENR.N,VNOM.OQ,CLX.N
ACA.N,CHWY.N,DOV.N
SANM.OQ,WTFC.OQ,FSLR.OQ
EFC.N,ALGM.OQ,MTB.N
ETSY.OQ,PB.N,FDX.N
LCII.N,FLG.N,TROW.OQ
WNC.N,COLM.OQ,JKHY.OQ
BSIG.N,GT.OQ,O.N
AMBC.N,ALE.N,MLM.N
MC.N,KMPR.N,RVTY.N
SKYW.OQ,CNO.N,L.N
ECG.N,CDP.N,QCOM.OQ
