Date,Average_Return_High,Count_High,MCap_Total_High,MCap_Average_High,Avg_ESG_Score_High,Average_Return_Low,Count_Low,MCap_Total_Low,MCap_Average_Low,Avg_ESG_Score_Low,ESG_Factor,ESG_Factor_Residual
2015-05-31,0.01231492398433334,176,9366.604399471105,53.219343178813105,71.66694872423949,0.022965707383524967,176,2061.093685013449,11.845366005824419,22.333582349906237,0.010650783399191626,-0.0015076338381499656
2015-06-30,-0.023797672319861685,178,9380.999543016087,52.70224462368589,71.6717288659183,-0.0064845057424271066,178,2030.7022793597491,11.670702754941086,21.914515582496154,0.017313166577434577,-7.727444134386294e-05
2015-07-31,0.007622757501262523,179,9544.964774833563,53.3238255577294,71.62513694497427,0.0034772005886747645,179,2064.7636564568593,11.798649465467765,21.8040939599574,-0.004145556912587759,0.0027856900276839293
2015-08-31,-0.04965310349080574,180,8945.315131457251,49.696195174762515,71.61830114026678,-0.044091733777574915,180,1968.256751297831,11.12009464010074,21.940717834889497,0.005561369713230825,0.011593408028292437
2015-09-30,-0.02684402190949532,183,8817.700365460578,48.184155002516825,71.52293804409851,-0.049818188709131045,183,1876.5767154321093,10.425426196845052,21.846990968400153,-0.022974166799635726,-0.0119807214469729
2015-10-31,0.07309225836593161,184,9484.99917541709,51.83059658697863,71.50351044698452,0.06790156081302745,184,1976.0093732031696,10.857194358259175,21.90090001294608,-0.005190697552904161,0.0065864628507515
2015-11-30,0.0007112713973775412,185,9498.995533076028,51.345921800410956,71.47064151865162,0.014572298064381095,185,1981.4755873796412,10.768889061845874,21.883581147141502,0.013861026667003553,-0.00799448870335776
2015-12-31,-0.021547060402360575,258,12476.053915443785,48.35679812187514,69.87749883136964,-0.04835281371668747,258,1555.2703942662035,6.12311178844962,19.63873287699364,-0.026805753314326893,-0.01605906499911936
2016-01-31,-0.054465862356229314,266,12008.879340964262,45.14616293595587,69.57050761060287,-0.07576551647916395,266,1505.5011835498194,5.768203768390112,19.360986872437934,-0.021299654122934636,0.00472923733623733
2016-02-29,0.01942181356729029,266,11842.29993350584,44.51992456205203,69.57050761060287,0.020785441351840444,266,1535.780015194321,5.884214617602762,19.35761943870563,0.0013636277845501532,0.007990835532316796
2016-03-31,0.08482349796334465,269,12669.3914395153,47.098109440577325,69.42853571015752,0.09198473495622794,269,1646.254938539076,6.235814161132863,19.30350107502425,0.007161236992883291,0.005824640654772286
2016-04-30,0.0097151454842723,272,12656.16809752905,46.53002977032739,69.30803370383236,0.020813151499878654,272,1665.7260246159265,6.26212791208995,19.184304330917513,0.011098006015606354,0.01097706966452111
